Row Key,Rank,Category Name,Best Seller IDs,Best Sellers,Best Seller Prices,Best Seller Images,Revenue,Revenue Growth Rate,Revenue Trend,Number of Shops,Revenue per Shop,Category Level,Top 3 Shops Ratio,Top 10 Shops Ratio
'601450,1,Beauty & Personal Care,"['1729385986905510533', '1730145765796646939', '1729606769780232427']","Dream Coat For Curly Hair, [Dr. Melaxin Official] Peel Shot Glow Rice Ampoule Duo - Serums for Brightening, Exfoliating, and Moisturizing - Suitable for All Skin Types, [medicube Official] Affordable Glass Glow Skincare Set | Includes 8 TOP-SELLING products for Gentle Skin Renewal","$24.00, $45.00, $93.00","shop_1_image_1.png, shop_1_image_2.png, shop_1_image_3.png",$37.23m,-8.44%,revenue_trend_1.png,11259,$3.31k,L1,8.59%,17.99%
'601152,2,Womenswear & Underwear,"['1729418496836080191', '1729420460993712801', '1729455910472159340']","CAKES circles - The 1st viral non-adhesive nip cover - Official CAKES, SNOWY Sticky Inserts - Instant Boost Sticky Inserts by SNOWY, SHAPSHE Waist Shapewear for Women Tummy Control Girdle Workout Shapewear with Adjustable Shoulder Strap","$30.00 - $33.00, $39.50 - $39.79, $46.58 - $47.98","shop_2_image_4.png, shop_2_image_5.png, shop_2_image_6.png",$25.42m,-0.43%,revenue_trend_2.png,10018,$2.54k,L1,4.57%,12.87%
'700645,3,Health,"['1729497551838548393', '1729465781365085154', '1730501450773467985']","Yerba Magic | Yerba Mate Instant Tea Powder | 20 or 30 Serving Options, Ultimate Men's Health Bundle - Snap Supplements - Nitric Oxide Booster 60ct + Prostate Health Bundle - Natural Supplement Capsules - Support Blood Circulation & Prostate Health, ZOOONE NR1000 - NAD+ Berry Flavor Drink Mix for Skin Aging Support, Energy, and Focus - 30 Pack -","$29.99 - $54.99, $39.95, $29.99 - $83.99","shop_3_image_7.png, shop_3_image_8.png, shop_3_image_9.png",$18.65m,-17.37%,revenue_trend_3.png,2641,$7.06k,L1,13.86%,36.48%
'700646,4,Nutrition & Wellness,"['1729497551838548393', '1729465781365085154', '1730501450773467985']","Yerba Magic | Yerba Mate Instant Tea Powder | 20 or 30 Serving Options, Ultimate Men's Health Bundle - Snap Supplements - Nitric Oxide Booster 60ct + Prostate Health Bundle - Natural Supplement Capsules - Support Blood Circulation & Prostate Health, ZOOONE NR1000 - NAD+ Berry Flavor Drink Mix for Skin Aging Support, Energy, and Focus - 30 Pack -","$29.99 - $54.99, $39.95, $29.99 - $83.99","shop_4_image_10.png, shop_4_image_11.png, shop_4_image_12.png",$18.18m,-17.23%,revenue_trend_4.png,2092,$8.69k,L2,14.22%,37.42%
'700650,5,"Vitamins, Minerals & Wellness Supplements","['1729497551838548393', '1729465781365085154', '1729417158856250354']","Yerba Magic | Yerba Mate Instant Tea Powder | 20 or 30 Serving Options, Ultimate Men's Health Bundle - Snap Supplements - Nitric Oxide Booster 60ct + Prostate Health Bundle - Natural Supplement Capsules - Support Blood Circulation & Prostate Health, Physician's Choice Hack your Tummy Bundle: Digestive Enzymes & 60 Billion Probiotic - Digestion, Immune & Bloating Support for Men & Women","$29.99 - $54.99, $39.95, $34.97 - $59.48","shop_5_image_13.png, shop_5_image_14.png, shop_5_image_15.png",$15.10m,-15.60%,revenue_trend_5.png,1787,$8.45k,L3,16.79%,40.08%
'603014,6,Sports & Outdoor,"['1730762001521283364', '1729577747003314278', '1729568240189804836']","Halara 2-Piece Super High Waisted Back Pocket & Side Hidden Pocket 2-in-1 Yoga Shorts 5''-Longer Length, 2 Piece Sets Women, Gym Shorts, Summer Bottoms, Activewear#Outdoorfun#Coachella#Summer, MERACH Stair Stepper with Handlebar for Full-Body Workout, 300LBS Capacity, Compact Cardio Climber Exercise Machine with Adjustable Pedals, Vertical Climber for Home Gym, Halara Women's SoCinched High Waisted Scrunch Butt Lifting Tummy Control Side Pocket Training UltraSculpt Leggings No Front Crotch Seam#springtok#Outdoorfun#Coachella#Summer","$39.95 - $42.95, $99.98 - $114.99, $34.95","shop_6_image_16.png, shop_6_image_17.png, shop_6_image_18.png",$14.47m,-0.61%,revenue_trend_6.png,7570,$1.91k,L1,15.06%,25.66%
'951432,7,Collectibles,"['1730548745653948424', '1730649167649804511', '1731058465623151046']","THE MONSTERS COCA-COLA SERIES-Vinyl Face Blind Box, ACBreakz Divisional Breakz, (1) Case Hit + (3) Black Sweats Divisional Break - Sports Trading Cards","$39.99 - $239.94, $234.00 - $259.00, $999.00","shop_7_image_19.png, shop_7_image_20.png, shop_7_image_21.png",$10.13m,-4.87%,revenue_trend_7.png,3026,$3.35k,L1,14.91%,25.51%
'601739,8,Phones & Electronics,"['1729632298773615501', '1729498852020949416', '1730140386476396781']","3MP 2K Window Camera,2.4GHz & 5GHz WiFi Indoor Cameras for Home Security with ChromaMax Al Color Night Vision,Person & Motion Detection,24/7 Recording,Easy & Quick Install, GLOBAL PICK Magcubic Portable Projector HY300 Pro, Android 11 Dual Wifi6 260ANSI Allwinner H713 BT5.0 1080P 1280*720P Projector, Multifunctional Projector for Home Cinema, Outdoor, Home Essentials, Vacuum Magnetic Phone Stand. Foldable And Retractable, Strongmagnet, Portable, Multi-Scene Useeasy To Use, Zero Bubbles, Your Screenstays Spotless","$37.99 - $85.99, $40.52, $9.99","shop_8_image_22.png, shop_8_image_23.png, shop_8_image_24.png",$9.98m,1.02%,revenue_trend_8.png,6201,$1.61k,L1,6.41%,16.34%
'605248,9,Fashion Accessories,"['1729421911834792300', '1730556085980402209', '1729391773365670446']","Back To School Sunglasses for Travel Use, Gifts for Him, Fashion Fall/Summer 2024 Geometric Frame Double Beam Sun Protection Glasses Trends, Travel Accessories, Fall Outfits, Fall Freshness, Vacation Outfits Fall Outfits 2024, [WEAR GO HALF WIG] ISEE Invisible Hairline Wear Go Kinky Curly Half Wig Glueless Human Hair Wigs Seamless Flip Over Wig Beginner Friendly Springtok, OQ HAIR Afro Curly V Part Wig No Leave Out Thin Part Human Hair Wigs 0 Skill Needed Glueless Wig Beginner Friendly Springtok","$4.20 - $4.85, $99.97 - $182.07, $91.78 - $183.16","shop_9_image_25.png, shop_9_image_26.png, shop_9_image_27.png",$9.95m,-9.27%,revenue_trend_9.png,8754,$1.14k,L1,8.27%,15.91%
'810000,10,Trading Cards & Accessories,"['1730649167649804511', '1731058465623151046', '1730603367981093318']","ACBreakz Divisional Breakz, (1) Case Hit + (3) Black Sweats Divisional Break - Sports Trading Cards, (1) Juiced + (3) Black Sweats Divisional Break - Sports Trading Cards","$234.00 - $259.00, $999.00, $299.00","shop_10_image_28.png, shop_10_image_29.png, shop_10_image_30.png",$8.69m,-0.38%,revenue_trend_10.png,1892,$4.59k,L2,10.04%,20.53%
