Row Key,Rank,Creator Logo,Creator Profile,Creator Name,Followers,Best Seller IDs,Best Sellers,Best Seller Prices,Best Seller Images,Revenue,Revenue Trend,Content Views,Views Trend,Creator Debut Time
'7288986759428588590,1,creator_logo_1.png,@popmart.usshop,POP MART US SHOP,335.05k,"['1729542997783449608', '1730918019362230280', '1730548745653948424']","THE MONSTERS - Have a Seat Vinyl Plush Blind Box, Mystery Box, PUCKY BEANIE BUBBLE UP SERIES-Plush Pendant Blind Box, THE MONSTERS COCA-COLA SERIES-Vinyl Face Blind Box","$21.99, $15.99 - $95.94, $39.99 - $239.94","creator_1_image_1.png, creator_1_image_2.png, creator_1_image_3.png",$77.02k,revenue_trend_1.png,1.44m,views_trend_1.png,03/29/2024
'6837568584919761925,2,creator_logo_2.png,@mama___tried,Dustin,14.16k,"['1731060297312931895', '1729649195107192943', '1730937656723607805']","DRIFT.SLIDE 1500W Peak Power Electric Bike for Adults, 28 MPH 60 Miles Electric Moped Style Bike, 48V 20.8 Ah UL 2849 Removable Battery, 7 Speed 20"" All Terrain Fat Tire Ebike (J1) bicycle light, AovoPro ES80 Electric Scooter - 8.5-inch Solid Tires, 350W Motor, Up to 21 Miles Range, 19 MPH Speed, Portable Folding Commuter Scooter, Dual Braking System, and App-Controlled Electric Scooter with 10.5Ah High Capacity Battery., Commuting electric bicycle with a maximum power of 1500W, upgraded thick tires and 7-layer full suspension, 48V 20.8Ah detachable large battery, 20 ""x 4.0 suitable for mountainous, snowy, sandy and highway areas, with the highest cost-effectiveness","$679.00, $169.89, $659.00","creator_2_image_4.png, creator_2_image_5.png, creator_2_image_6.png",$56.82k,revenue_trend_2.png,328.88k,views_trend_2.png,01/12/2025
'7036236298193617926,3,creator_logo_3.png,@shapellxcrew,shapellxstore,25.9k,"['1730586236661895235', '1730362285233246275', '1729989006154829891']","AirSlim Lace Steel Boned Butt Enhancer Shapewear Live, Shapellx AirSlim Boned Sculpt High Waist Shorts Womenswear Underwear Highwaist Shapewear Girdle Undergarment Live, Shapellx AirSlim Sculpt High Waist Shorts Womenswear Shapewear Underwear Live","$57.99, $68.60, $64.00 - $68.60","creator_3_image_7.png, creator_3_image_8.png, creator_3_image_9.png",$43.37k,revenue_trend_3.png,178.91k,views_trend_3.png,12/17/2021
'7258922072206558254,4,creator_logo_4.png,@popmartunboxing.us,POPMART USUNBOXING.,68.75k,"['1729542997783449608', '1730548745653948424', '1730918019362230280']","THE MONSTERS - Have a Seat Vinyl Plush Blind Box, Mystery Box, THE MONSTERS COCA-COLA SERIES-Vinyl Face Blind Box, PUCKY BEANIE BUBBLE UP SERIES-Plush Pendant Blind Box","$21.99, $39.99 - $239.94, $15.99 - $95.94","creator_4_image_10.png, creator_4_image_11.png, creator_4_image_12.png",$42.35k,revenue_trend_4.png,315.82k,views_trend_4.png,07/16/2024
'6972453415897711622,5,creator_logo_5.png,@shapellxofficial,shopshapellx,146.93k,"['1729534696881558144', '1729579556672148096', '1729596073113195136']","Shapellx AirSlim Lace Smooth Firm Control Full Body Shapewear Womenswear Sales, Shapellx AirSlim Smooth Tummy Control Butt-Lifting T-Back Hand Wash Shorts Shapewear Womenswear Sales, Shapellx AirSlim ElasticFuse Waistband Shaping Leggings Womenswear Sales","$53.99, $33.00, $39.99 - $83.59","creator_5_image_13.png, creator_5_image_14.png, creator_5_image_15.png",$38.43k,revenue_trend_5.png,128.68k,views_trend_5.png,12/13/2021
'7347874571863721003,6,creator_logo_6.png,@popmart.uslocalshop,POP MART US Localshop,192.23k,"['1730548761579393857', '1730746616712106817', '1729570465770214209']","THE MONSTERS COCA-COLA SERIES-Vinyl Face Blind Box, MEGA ROYAL MOLLY 400% Monet-Les Nympheas, THE MONSTERS Lazy Yoga Series Figures, Whole Set","$39.99 - $239.94, $329.90, $169.90","creator_6_image_16.png, creator_6_image_17.png, creator_6_image_18.png",$32.43k,revenue_trend_6.png,757.19k,views_trend_6.png,07/16/2024
'7349046047447270442,7,creator_logo_7.png,@kiwishoppin,🥝,8.75k,"['1729385986905510533', '1729554645907378383', '1729445212463796857']","Dream Coat For Curly Hair, Cocofloss Happiness 4-Piece Set — Woven Dental Floss with Coconut Oil, Delicious Mint, Fresh Coconut, Pure Strawberry, Cara Cara Orange, Dentist-Designed Eco-Friendly Oral Care to Remove Plaque – 4 Waxed Floss Spools (33 yd, 2 month supply each), Lux Decor 4 Pcs Bed Sheet Set-16 Inches Deep Pocket Queen Sheets- Microfiber Floral, Quatrefoil & Solid King Bed Sheet With Embroidered Pillowcases","$24.00, $31.00 - $36.00, $14.99 - $26.73","creator_7_image_19.png, creator_7_image_20.png, creator_7_image_21.png",$30.98k,revenue_trend_7.png,1.08m,views_trend_7.png,03/25/2025
'6873817723647607814,8,creator_logo_8.png,@yourshopbestiee,Heidi ♡,64.41k,"['1729919684324856511', '1729438841571218111', '1729773315751580351']","MERACH High-Power Vibration Plate Exercise Machine,440lbs Weight Capacity, Bluetooth Remote Control, 4 Workout Modes for Efficient Fat Burning Home Gym Fitness Equipment, MERACH Vibration Plate Exercise Machine, Lymphatic Drainage Machine, Whole Body Workout Vibration Platform for Wellness and Fitness, MERACH Waist twist Machine, slim waist and toned abs, 300 lbs weighing, can stand with feet apart, double non-slip, no noise use Exercise Equipment Abdominal Roller Workout","$145.99 - $155.99, $85.99 - $299.99, $38.99 - $45.99","creator_8_image_22.png, creator_8_image_23.png, creator_8_image_24.png",$28.66k,revenue_trend_8.png,259.01k,views_trend_8.png,07/26/2024
'7439263551690179627,9,creator_logo_9.png,@fresought777,Yita Home,11.27k,"['1729562221692948644', '1729537884756152484', '1729597707943579812']","YITAHOME Vanity Desk Set with Large Lighted Mirror and Power Outlet, 46"" Makeup Vanity with 10 Drawers and Magnifying Glass, Vanity Desk Set with Storage Bench, 3 Lighting Color Adjustable, YITAHOME Makeup Vanity Desk with Large Lighted Mirror with Power Outlet and LED Strip, 3 Color Lighting Modes with Adjustable Brightness, 4 Drawer Vanity Table with Cushioned Stool for Bedroom, YITAHOME Shoe Cabinet with 2/3/4 Flip Drawers, Freestanding Shoe Rack, Shoe Organizer, Narrow Shoe Cabinet for EntryWay Hallway Living Room","$269.99 - $299.99, $164.99 - $209.99, $64.99 - $154.99","creator_9_image_25.png, creator_9_image_26.png, creator_9_image_27.png",$28.29k,revenue_trend_9.png,191.39k,views_trend_9.png,02/10/2025
'7397754797455803435,10,creator_logo_10.png,@superjerry62,Fanie_wardrobe,8.35k,"['1729654449419424166', '1730415399686606857', '1729562343719538908']","Two-piece Set Women's Solid Zip Up Mock Neck Sports Jacket & High Waist Leggings Set, Sporty Breathable Quick Drying Outfits for Yoga Gym Workout Running, Valentine's Day Gift for Girl, Ladies Sportswear for All Seasons, Tracksuit Set, Women's Low Top Lace Up Training Shoes, Casual Comfortable Breathable Lightweight Wear-Resistant Sports Shoes, Non-Slip Sneakers for Gym Workout Running, Women's High Waist Sports Shorts, Breathable Comfortable High Stretch Skinny Shorts, Gym Shorts, Ladies Sportswear for Indoor Outdoor Wear, Workout Clothes","$14.33, $18.87, $9.16 - $48.74","creator_10_image_28.png, creator_10_image_29.png, creator_10_image_30.png",$28.13k,revenue_trend_10.png,363.65k,views_trend_10.png,03/13/2025
